Event,Waveform,chirp_mass,mass_1_source,mass_2_source,luminosity_distance,redshift,ra,dec,a_1,a_2,tilt_1,tilt_2,phi_12,phi_jl,theta_jn,psi,phase,network_matched_filter_snr
GW230712_090405,C00:IMRPhenomXO4a,24.88358,33.95195,14.23103,2116.70263,0.37492,3.23615,0.30592,0.63839,0.50411,1.65179,1.69505,3.1467,3.29352,1.72519,1.54604,3.37609,8.84317
GW230712_090405,C00:IMRPhenomXPHM-SpinTaylor,24.74932,32.47499,14.23605,2202.04195,0.38823,3.36159,0.28288,0.59788,0.50864,1.63396,1.66003,3.18038,3.28049,1.73423,1.56935,3.2018,8.74259
GW230712_090405,C00:Mixed,24.27843,33.3903,13.70387,2095.57568,0.37252,3.30723,0.29461,0.62318,0.50687,1.62646,1.62896,3.16209,3.32833,1.75208,1.57245,3.14837,8.81458
GW230712_090405,C00:Mixed+XO4a,24.47701,33.5746,13.87956,2101.85344,0.3732,3.28208,0.29849,0.6284,0.50589,1.63492,1.65104,3.15618,3.31667,1.74318,1.56352,3.22426,8.8245
GW230712_090405,C00:SEOBNRv5PHM,23.80292,34.28853,13.16862,1989.20165,0.35686,3.25867,0.30668,0.64844,0.50596,1.61836,1.59956,3.14702,3.37431,1.76548,1.57648,3.0941,8.88726
GW230630_234532,C00:IMRPhenomXPHM-SpinTaylor,8.56514,10.26281,6.67737,1078.22871,0.21084,2.60124,0.4514,0.29756,0.41283,1.70494,1.5943,3.11016,3.13185,1.30619,1.61473,3.22926,9.75972
GW230630_234532,C00:Mixed,8.56339,10.28988,6.66561,1075.23222,0.2103,2.63127,0.47348,0.28732,0.41045,1.6983,1.60789,3.12964,3.14348,1.34859,1.61183,3.25846,9.7573
GW230630_234532,C00:SEOBNRv5PHM,8.56164,10.3145,6.6549,1072.37085,0.20979,2.66046,0.49535,0.27711,0.408,1.69199,1.62137,3.14973,3.15465,1.3903,1.60962,3.28823,9.7547
GW231226_101520,C00:IMRPhenomXO4a,39.32497,40.01311,34.51419,1119.23727,0.219,2.06469,0.93119,0.38187,0.43547,1.79416,1.94563,3.10181,2.55645,1.49111,1.98403,2.63385,40.694
GW231226_101520,C00:IMRPhenomXPHM-SpinTaylor,39.89581,40.59939,34.70233,1153.64477,0.22495,2.07366,0.93958,0.37603,0.44418,1.63899,1.91636,3.24366,3.39314,1.26545,1.93633,2.17475,40.68427
GW231226_101520,C00:Mixed,39.84099,40.26977,34.96874,1141.48904,0.2228,2.07481,0.94602,0.3373,0.46079,1.70175,1.86698,3.2126,3.33416,1.28116,2.01941,3.06002,40.68555
GW231226_101520,C00:Mixed+XO4a,39.7128,40.20799,34.85261,1136.14788,0.22189,2.07269,0.94255,0.34855,0.45492,1.72383,1.88742,3.18809,3.13926,1.33632,2.0113,2.95467,40.68763
GW231226_101520,C00:NRSur7dq4,39.99045,40.2585,34.96888,1167.45825,0.2273,2.08588,0.95983,0.23439,0.50336,1.61595,1.85825,3.23632,3.65739,1.23938,2.01316,3.556,40.68819
GW231226_101520,C00:SEOBNRv5PHM,39.63979,39.98305,35.21635,1103.31427,0.21614,2.0623,0.93616,0.40113,0.43768,1.84325,1.82872,3.19079,2.94038,1.34368,2.10063,3.47372,40.6843
GW230928_215827,C00:IMRPhenomXPHM-SpinTaylor,61.01974,56.97441,30.93367,4660.93646,0.72816,2.90342,0.12052,0.77898,0.46604,0.63117,1.48408,3.09652,3.16497,1.62087,1.46613,3.78699,9.92394
GW230928_215827,C00:Mixed,61.06382,55.27078,30.41367,5040.16113,0.77604,2.85499,0.10387,0.75492,0.48621,0.66126,1.39901,2.99012,3.17753,1.63168,1.50194,3.19381,9.83361
GW230928_215827,C00:NRSur7dq4,60.58059,54.78922,30.94409,4868.49358,0.75435,2.82906,0.09582,0.73102,0.48405,0.67869,1.36606,2.91093,3.16203,1.64467,1.4984,2.82437,9.80742
GW230928_215827,C00:SEOBNRv5PHM,61.62029,54.03483,29.39763,5591.1087,0.84559,2.83,0.094,0.75564,0.50929,0.67387,1.34645,2.95449,3.20596,1.63083,1.54271,2.97372,9.77059
GW230628_231200,C00:IMRPhenomXPHM-SpinTaylor,35.94775,32.91548,26.99523,2225.77659,0.39615,2.84089,0.84604,0.472,0.47066,1.5233,1.66618,3.0646,2.96022,1.54048,1.49635,3.01718,16.9308
GW230628_231200,C00:Mixed,35.82407,32.74213,27.19727,2182.71164,0.38944,2.8192,0.83466,0.42649,0.449,1.5713,1.6687,3.09952,3.05204,1.55095,1.45915,3.07202,16.92428
GW230628_231200,C00:NRSur7dq4,35.78222,32.85192,27.6107,2090.91708,0.37511,2.82268,0.83012,0.39941,0.43663,1.57131,1.68122,3.12605,3.12651,1.53292,1.39776,3.08939,16.93919
GW230628_231200,C00:SEOBNRv5PHM,35.73891,32.45383,26.98545,2231.07355,0.39701,2.79682,0.82957,0.40768,0.43952,1.61763,1.6602,3.10762,3.07768,1.57442,1.48311,3.10752,16.90301
GW230930_110730,C00:IMRPhenomXPHM-SpinTaylor,44.21221,35.21271,24.73917,4942.45843,0.76497,2.90142,0.01823,0.43481,0.45698,1.49325,1.56252,3.09974,3.14746,1.65989,1.57795,3.07141,8.7652
GW230930_110730,C00:Mixed,44.14192,35.0009,24.75256,4946.88592,0.76566,2.90947,0.02426,0.41528,0.45861,1.50528,1.55922,3.11186,3.12105,1.64672,1.57576,3.06027,8.77567
GW230930_110730,C00:NRSur7dq4,44.12185,34.84274,24.86557,4935.08674,0.76417,2.88554,0.04022,0.39532,0.45109,1.50272,1.55248,3.11505,3.12321,1.62854,1.5697,3.05511,8.77626
GW230930_110730,C00:SEOBNRv5PHM,44.07215,35.00627,24.64749,4949.27955,0.76603,2.9332,0.0144,0.41491,0.46435,1.52083,1.56398,3.11146,3.09874,1.6515,1.57362,3.05173,8.78661
GW230605_065343,C00:IMRPhenomXO4a,14.41872,17.6758,11.09508,1063.49486,0.20804,4.82752,0.0085,0.28836,0.42539,1.38115,1.38696,3.15646,3.14438,1.55954,1.55119,3.8867,10.93512
GW230605_065343,C00:IMRPhenomXPHM-SpinTaylor,14.46979,17.84222,11.06728,1062.49969,0.20783,4.85697,0.00525,0.29101,0.44206,1.3411,1.33043,3.12572,3.17541,1.55717,1.56641,3.86038,10.95352
GW230605_065343,C00:Mixed,14.46023,17.96875,10.98112,1066.09969,0.2085,4.87029,0.01058,0.30183,0.43707,1.33408,1.35707,3.13909,3.15729,1.55905,1.5796,3.57292,10.95469
GW230605_065343,C00:Mixed+XO4a,14.44643,17.87105,11.01952,1065.11288,0.20833,4.85626,0.00989,0.29741,0.4332,1.34963,1.36685,3.14434,3.15273,1.55906,1.57015,3.6775,10.94816
GW230605_065343,C00:SEOBNRv5PHM,14.45041,18.08897,10.89608,1070.06286,0.20924,4.88934,0.01676,0.31236,0.43144,1.32789,1.38327,3.15096,3.14121,1.5595,1.59098,3.28336,10.95597
GW230806_204041,C00:IMRPhenomXPHM-SpinTaylor,66.69701,51.6277,35.19643,5619.10472,0.84884,4.43489,-0.56262,0.45468,0.47567,1.33593,1.44581,3.11253,3.15026,1.61771,1.5366,3.76773,9.26313
GW230806_204041,C00:Mixed,66.83247,51.69719,35.36335,5605.63131,0.84714,4.42096,-0.56377,0.44218,0.47079,1.36622,1.45179,3.11535,3.1399,1.61617,1.55764,3.12571,9.26397
GW230806_204041,C00:NRSur7dq4,66.66067,51.59262,35.27359,5608.34383,0.8474,4.40606,-0.55915,0.43517,0.46459,1.38166,1.45331,3.13106,3.12131,1.63825,1.57932,2.80311,9.26619
GW230806_204041,C00:SEOBNRv5PHM,67.15309,51.87622,35.6315,5589.12151,0.84515,4.41526,-0.56856,0.43706,0.47227,1.38073,1.45688,3.10138,3.14388,1.59194,1.55147,2.81175,9.2628
GW230820_212515,C00:IMRPhenomXPHM-SpinTaylor,62.14958,65.44513,31.9062,3978.16232,0.63852,4.63078,-0.79178,0.48736,0.5259,1.08525,1.27911,3.14884,3.22905,2.05175,1.54714,3.16414,9.22953
GW230820_212515,C00:Mixed,63.02387,64.67643,32.60937,4050.87022,0.64829,4.62116,-0.79972,0.48739,0.52411,1.07149,1.27728,3.15481,3.31882,2.06695,1.55146,3.15168,9.22335
GW230820_212515,C00:SEOBNRv5PHM,63.91384,63.90481,33.32246,4124.67702,0.65819,4.61169,-0.80752,0.48789,0.52289,1.05799,1.2757,3.16224,3.40925,2.08143,1.55593,3.14163,9.2169
GW230927_043729,C00:IMRPhenomXPHM-SpinTaylor,41.0073,35.58118,27.65088,3128.64134,0.52494,2.54187,-0.83089,0.41547,0.44274,1.54323,1.58594,3.14219,3.09122,1.62885,1.35555,3.33608,11.51901
GW230927_043729,C00:Mixed,40.98138,35.31672,27.56812,3174.83412,0.53145,2.53557,-0.81796,0.40584,0.44175,1.55621,1.58765,3.15646,3.11037,1.59583,1.35025,3.15157,11.5122
GW230927_043729,C00:NRSur7dq4,40.90207,34.95787,27.53294,3212.45872,0.53673,2.53184,-0.81373,0.38668,0.42967,1.56113,1.59639,3.17403,3.13897,1.57022,1.33575,3.08711,11.50065
GW230927_043729,C00:SEOBNRv5PHM,41.03832,35.40456,27.51544,3185.99698,0.53305,2.52907,-0.80617,0.41539,0.45209,1.56524,1.57774,3.15363,3.10107,1.58914,1.36435,3.03406,11.51622
GW230927_153832,C00:IMRPhenomXO4a,20.06654,22.33749,16.25101,1126.85793,0.2195,5.07462,-0.32082,0.34701,0.39145,1.59937,1.40426,3.12518,2.94173,1.85511,1.71057,3.94537,21.48059
GW230927_153832,C00:IMRPhenomXPHM-SpinTaylor,20.20259,22.23618,16.4742,1142.25911,0.22223,5.08332,-0.29049,0.341,0.40069,1.50702,1.35478,3.0208,3.03249,1.98819,1.66701,3.89504,21.43494
GW230927_153832,C00:Mixed,20.16742,22.00489,16.62998,1130.80751,0.22022,5.10335,-0.28812,0.3274,0.38004,1.49159,1.41335,3.06763,3.07884,1.99179,1.66511,3.70469,21.43427
GW230927_153832,C00:Mixed+XO4a,20.13353,22.11298,16.5045,1129.55741,0.21999,5.09401,-0.29989,0.33383,0.38411,1.52802,1.4094,3.08954,3.03256,1.94527,1.67994,3.78524,21.44958
GW230927_153832,C00:SEOBNRv5PHM,20.1321,21.77078,16.78506,1119.83979,0.2183,5.12489,-0.28629,0.31387,0.35972,1.47536,1.47363,3.12079,3.12654,1.99335,1.66272,3.51969,21.43361
GW230726_002940,C00:IMRPhenomXPHM-SpinTaylor,37.48841,35.96433,27.87069,2102.60161,0.37593,2.89453,5e-05,0.44295,0.46394,1.54118,1.69462,3.07157,3.11617,1.5948,1.57081,3.63052,11.12117
GW230726_002940,C00:Mixed,37.40986,35.84743,28.0108,2074.80543,0.37162,2.89262,-7e-05,0.43124,0.45718,1.58977,1.68717,3.06979,3.12427,1.58325,1.57067,3.24393,11.13279
GW230726_002940,C00:NRSur7dq4,37.38818,35.7784,28.08523,2067.05862,0.37038,2.8926,-0.00336,0.41913,0.4497,1.60269,1.67987,3.0621,3.12505,1.56199,1.56238,3.00662,11.13865
GW230726_002940,C00:SEOBNRv5PHM,37.33886,35.79728,28.08513,2050.11691,0.36783,2.89173,0.00636,0.43099,0.4583,1.62851,1.68478,3.07555,3.12281,1.58199,1.57798,3.08879,11.13894
GW231108_125142,C00:IMRPhenomXPHM-SpinTaylor,23.8186,23.54264,17.44848,2015.18888,0.36418,4.41409,-0.20681,0.35638,0.45759,1.74891,1.78552,3.12696,3.17804,1.53813,1.60262,4.00245,13.5208
GW231108_125142,C00:Mixed,23.74131,23.53697,17.41172,1997.97496,0.36149,4.49717,-0.21957,0.3643,0.45436,1.7901,1.79442,3.13816,3.17595,1.55649,1.59811,3.57425,13.52149
GW231108_125142,C00:SEOBNRv5PHM,23.66286,23.53561,17.36982,1980.9329,0.35884,4.58147,-0.23257,0.37212,0.4509,1.83117,1.80315,3.14703,3.17054,1.57502,1.59471,3.1485,13.52233
GW231230_170116,C00:IMRPhenomXPHM-SpinTaylor,69.98383,56.1651,35.57934,5929.86438,0.8843,2.93004,-0.05935,0.55397,0.5228,2.03443,1.87077,3.14792,3.14964,1.5979,1.56228,3.41333,8.09912
GW231230_170116,C00:Mixed,69.5581,56.76828,35.17312,5842.22306,0.8736,2.94353,-0.05366,0.56538,0.52114,2.04375,1.86307,3.14805,3.13169,1.61725,1.56455,3.28004,8.10448
GW231230_170116,C00:SEOBNRv5PHM,69.13047,57.32258,34.77567,5756.53057,0.86316,2.95762,-0.04773,0.5769,0.51954,2.05391,1.85517,3.15146,3.1144,1.63575,1.56707,3.14333,8.11008
GW230920_071124,C00:IMRPhenomXPHM-SpinTaylor,35.71699,32.91328,23.86044,2888.0566,0.49147,4.53893,0.36741,0.4355,0.46401,1.54374,1.64414,3.14699,2.87129,1.75149,1.42216,3.10856,11.05624
GW230920_071124,C00:Mixed,35.87755,32.95509,24.16823,2857.3897,0.48704,4.56747,0.35828,0.44229,0.46921,1.56301,1.60095,3.15682,2.89584,1.78993,1.416,3.15747,11.07299
GW230920_071124,C00:NRSur7dq4,35.99288,33.00188,24.6055,2783.29938,0.47627,4.60515,0.34492,0.43999,0.47409,1.55102,1.59181,3.16504,3.01104,1.82976,1.36645,3.15662,11.10593
GW230920_071124,C00:SEOBNRv5PHM,35.9223,32.99284,24.03867,2893.77309,0.49234,4.54324,0.3664,0.45263,0.46724,1.58849,1.57283,3.18513,2.80309,1.77954,1.44662,3.19286,11.05769
GW231004_232346,C00:IMRPhenomXO4a,68.14936,68.52245,34.57331,4225.2028,0.67149,5.00779,0.09729,0.45205,0.49485,1.73982,1.64463,3.13372,3.15169,1.51741,1.50772,3.91783,9.01273
